Experiment,Method,Column,Measure,Value
0,Mean,Clashscore,MSE,99.57869440349113
0,Mean,Clashscore,MAE,6.1119230581775055
0,Mean,Clashscore,MAD,4.965187561938491
0,Mean,Ramachandran outliers [%],MSE,0.9831249973988161
0,Mean,Ramachandran outliers [%],MAE,0.5650897502215194
0,Mean,Ramachandran outliers [%],MAD,0.49406801766478176
0,Mean,Rotamer outliers [%],MSE,14.406701253071587
0,Mean,Rotamer outliers [%],MAE,2.6529968041749297
0,Mean,Rotamer outliers [%],MAD,2.18617261423122
0,Mean,RSRZ outliers [%],MSE,15.983976230528297
0,Mean,RSRZ outliers [%],MAE,2.7183345371890657
0,Mean,RSRZ outliers [%],MAD,2.2689643043017886
0,Mean,R [%],MSE,10.459703233960461
0,Mean,R [%],MAE,2.4940310723365506
0,Mean,R [%],MAD,2.014132821050243
0,Mean,R free [%],MSE,14.531967748155983
0,Mean,R free [%],MAE,2.9948843251547133
0,Mean,R free [%],MAD,2.536999999999999
0,Median,Clashscore,MSE,108.48132892561982
0,Median,Clashscore,MAE,5.620661157024793
0,Median,Clashscore,MAD,3.19
0,Median,Ramachandran outliers [%],MSE,1.1385703170028816
0,Median,Ramachandran outliers [%],MAE,0.43909702209414025
0,Median,Ramachandran outliers [%],MAD,0.04
0,Median,Rotamer outliers [%],MSE,16.19450440132513
0,Median,Rotamer outliers [%],MAE,2.450724088973024
0,Median,Rotamer outliers [%],MAD,1.3800000000000003
0,Median,RSRZ outliers [%],MSE,16.959058574459057
0,Median,RSRZ outliers [%],MAE,2.5748621128553246
0,Median,RSRZ outliers [%],MAD,1.84
0,Median,R [%],MSE,10.468202452559641
0,Median,R [%],MAE,2.492033259540915
0,Median,R [%],MAD,2.0159999999999982
0,Median,R free [%],MSE,14.538759320329783
0,Median,R free [%],MAE,2.995747692869981
0,Median,R free [%],MAD,2.528500000000003
0,Bayesian,Clashscore,MSE,44.23545373851814
0,Bayesian,Clashscore,MAE,3.973163077773744
0,Bayesian,Clashscore,MAD,2.7643247534632227
0,Bayesian,Ramachandran outliers [%],MSE,0.4995134133436105
0,Bayesian,Ramachandran outliers [%],MAE,0.3696870403627354
0,Bayesian,Ramachandran outliers [%],MAD,0.19
0,Bayesian,Rotamer outliers [%],MSE,7.130628591793818
0,Bayesian,Rotamer outliers [%],MAE,1.8229649613658236
0,Bayesian,Rotamer outliers [%],MAD,1.2521026126816652
0,Bayesian,RSRZ outliers [%],MSE,14.30378262551005
0,Bayesian,RSRZ outliers [%],MAE,2.5215220133699954
0,Bayesian,RSRZ outliers [%],MAD,1.9774393056123105
0,Bayesian,R [%],MSE,3.276895467819932
0,Bayesian,R [%],MAE,1.317440571279972
0,Bayesian,R [%],MAD,0.9933803217634463
0,Bayesian,R free [%],MSE,3.2435159081921165
0,Bayesian,R free [%],MAE,1.334072092775422
0,Bayesian,R free [%],MAD,1.0426918599422699
1,Mean,Clashscore,MSE,118.4928121467582
1,Mean,Clashscore,MAE,6.030894710370542
1,Mean,Clashscore,MAD,4.164521712995303
1,Mean,Ramachandran outliers [%],MSE,1.293445480526421
1,Mean,Ramachandran outliers [%],MAE,0.5955804476728989
1,Mean,Ramachandran outliers [%],MAD,0.4936480250938957
1,Mean,Rotamer outliers [%],MSE,14.125304532706561
1,Mean,Rotamer outliers [%],MAE,2.6171714489485964
1,Mean,Rotamer outliers [%],MAD,2.164646366233467
1,Mean,RSRZ outliers [%],MSE,15.5411057281757
1,Mean,RSRZ outliers [%],MAE,2.7474366963667562
1,Mean,RSRZ outliers [%],MAD,2.3106730855512283
1,Mean,R [%],MSE,10.671250655635426
1,Mean,R [%],MAE,2.515087629662653
1,Mean,R [%],MAD,2.055500000000002
1,Mean,R free [%],MSE,13.8197056560166
1,Mean,R free [%],MAE,2.936780904686907
1,Mean,R free [%],MAD,2.4475922430952046
1,Median,Clashscore,MSE,131.04578429752067
1,Median,Clashscore,MAE,5.806198347107437
1,Median,Clashscore,MAD,2.86
1,Median,Ramachandran outliers [%],MSE,1.4796629202689722
1,Median,Ramachandran outliers [%],MAE,0.4632468780019212
1,Median,Ramachandran outliers [%],MAD,0.03
1,Median,Rotamer outliers [%],MSE,15.798324609559865
1,Median,Rotamer outliers [%],MAE,2.4150449597728345
1,Median,Rotamer outliers [%],MAD,1.42
1,Median,RSRZ outliers [%],MSE,16.69827722528638
1,Median,RSRZ outliers [%],MAE,2.628718710224862
1,Median,RSRZ outliers [%],MAD,1.8699999999999999
1,Median,R [%],MSE,10.685563406598748
1,Median,R [%],MAE,2.5107122950400678
1,Median,R [%],MAD,2.030000000000001
1,Median,R free [%],MSE,13.821462226362707
1,Median,R free [%],MAE,2.936632296697259
1,Median,R free [%],MAD,2.4299999999999997
